adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,runtime
False,/nb3xI8XI3w4pMVZ38VijbsyBqP4.jpg,"['Drama', 'History']",872585,en,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,329.9,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,2023-07-19,Oppenheimer,False,8.094,8601,
False,/fK5ssgvtI43z19FoWigdlqgpLRE.jpg,"['Animation', 'Family', 'Science Fiction']",10681,en,WALL·E,"In the distant future, Earth has become a desolate wasteland, abandoned by humanity and overrun by mountains of trash. Amidst the rubble, a small, lovable robot named WALL-E spends his days tirelessly cleaning up the mess. But when a sleek, high-tech robot named EVE arrives on a mission to search for signs of life, WALL-E is immediately smitten. Together, they embark on a journey across the cosmos.",117.655,/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,2008-06-22,WALL·E,False,8.092,18408,
False,/i4XlRFhNi61C2SZwgEuw8QgN59Q.jpg,['Drama'],3780,ja,赤ひげ,"Aspiring to an easy job as personal physician to a wealthy family, Noboru Yasumoto is disappointed when his first post after medical school takes him to a small country clinic under the gruff doctor Red Beard. Yasumoto rebels in numerous ways, but Red Beard proves a wise and patient teacher. He gradually introduces his student to the unglamorous side of the profession, ultimately assigning him to care for a prostitute rescued from a local brothel.",23.869,/iYNH3Re0JSypoYaWvZtERUnNaJL.jpg,1965-04-03,Red Beard,False,8.092,343,
False,/59kBgtfbhh1dalgjGvFhDL98jN.jpg,"['Drama', 'Romance']",2457,fr,Les Enfants du Paradis,"In a chaotic 19th-century Paris teeming with aristocrats, thieves, psychics, and courtesans, theater mime Baptiste is in love with the mysterious actress Garance. But Garance, in turn, is loved by three other men: pretentious actor Frederick, conniving thief Lacenaire, and Count Edouard of Montray.",18.733,/yiy9stl1jjVhW44ypkWMFDT8Ix3.jpg,1945-03-15,Children of Paradise,False,8.091,393,
False,/zyO6j74DKMWfp5snWg6Hwo0T3Mz.jpg,"['Crime', 'Drama', 'Mystery']",548,ja,羅生門,"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.",36.464,/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg,1950-08-26,Rashomon,False,8.091,2139,
False,/tRI6Csmw4rKzMYDrfUx5xtyBSVE.jpg,"['Drama', 'History', 'War']",387,de,Das Boot,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",50.449,/u8FhQPncOAkwcei2OI9orPWhV6K.jpg,1981-09-17,Das Boot,False,8.091,2149,
False,/r8Un26Y8GhcIdtmVZVnUOccnHaj.jpg,"['Drama', 'Thriller', 'Crime']",832,de,M - Eine Stadt sucht einen Mörder,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",32.703,/bTdZk3q2DWpBRnLiaaItKFWOVhI.jpg,1931-05-11,M,False,8.089,2100,
False,/8LRcCJjbQI552BMCuGgYqph8USS.jpg,['Drama'],7345,en,There Will Be Blood,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",43.438,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,2007-12-26,There Will Be Blood,False,8.084,6425,
False,/pSjGsbqyKUzF8rHzL0vtVWV1pS6.jpg,"['Drama', 'History', 'TV Movie']",21634,en,Prayers for Bobby,"Bobby Griffith was his mother's favorite son, the perfect all-American boy growing up under deeply religious influences in Walnut Creek, California. Bobby was also gay. Struggling with a conflict no one knew of, much less understood, Bobby finally came out to his family.",24.348,/1viFwXluAettogGDsTrSUUg29lZ.jpg,2009-01-24,Prayers for Bobby,False,8.079,572,
False,/pgEWI7yGYF0mM5Uf1YxSOHsBkJR.jpg,"['Drama', 'Romance']",4348,en,Pride & Prejudice,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",102.182,/sGjIvtVvTlWnia2zfJfHz81pZ9Q.jpg,2005-09-16,Pride & Prejudice,False,8.078,7866,
